Designator,Name,Value,Description,Footprint,LibRef,Quantity

"C201","CAP_0805","4u7","Capacitor SMD 0805","CAP_0805","CMP-001-00086-4","1"
"C202, C203, C303, C502, C503, C505, C507","CAP_0805","100n","Capacitor SMD 0805","CAP_0805","CMP-001-00086-4","7"
"C204, C205","CAP_0805","12p","Capacitor SMD 0805","CAP_0805","CMP-001-00086-4","2"
"C206, C207","CAP_0805","1u","Capacitor SMD 0805","CAP_0805","CMP-001-00086-4","2"
"C301, C306","B32021A3472K000","4n7","Film Capacitor, Polypropylene, 1500V, 10% +Tol, 10% -Tol, 0.0047uF, Through Hole Mount","CAP_10","CMP-001-00098-1","2"
"C302, C304, C305","B32921C3103K000","10n","Film Capacitor, Polypropylene, 630V, 10% +Tol, 10% -Tol, 0.01uF, Through Hole Mount","CAP_10","CMP-001-00099-1","3"
"C401, C402","CAP_0805","10n","Capacitor SMD 0805","CAP_0805","CMP-001-00086-4","2"
"C501","CAP_0805","10u","Capacitor SMD 0805","CAP_0805","CMP-001-00086-4","1"
"D201, D206, D302","LED_0805_RED","","LED 0805 RED SMD","LED_0805_BLUE","CMP-004-00066-2","3"
"D202, D203, D204, D205, D401, D402, D403","H3V3SD3B","","Bidirectional TVS Diode SMD SOD-323","SOD-323","CMP-004-00068-3","7"
"D301","BTA12-600SWRG","","TRIAC 600V 126A 3-Pin(3+Tab) TO-220AB Insulated Tube / TRIAC SENS GATE 600V 12A TO220AB","ONSC-TO-220-3-221A-09","CMP-013-00035-2","1"
"D502","1N4148W-7-F","2pF","Small Signal Diode, Single, 100 V, 300 Ma, 1.25 V, 4 Ns, 2 A Rohs Compliant: Yes","DIOD-SOD123-2_V","CMP-004-00069-1","1"
"F301","64600001223","","FUSE BLOCK CART 250V 6.3A PCB","FP-64600001223-MFG","CMP-08604-000020-1","1"
"F302","0466.500NRHF","","FUSE BOARD MOUNT 500MA 63VAC/VDC","FP-0466-MFG","CMP-08605-000090-1","1"
"HS301","XSD683-022","","XSD XSD683-022 Extruded Aluminium Aluminum Heat Sink 6063-T5 35.5*11*25mm TO-220","XSD683-022-Footprint-1","CMP-010-000001-1","1"
"J201","FTSH-105-01-F-DV-K","","Conn Unshrouded Header HDR 10 POS 1.27mm Solder ST Top Entry SMD Tube","SMTC-FTSH-105-01-L-DV-K_V","CMP-002-00168-1","1"
"J202","LDK130M33R","","Fixed 3.3V 300mA low quiescent current and low noise LDO","SOT23-5L_1P75X3P05X0P95_STM","CMP-019-00053-2","1"
"J301","KF7.62-3P","","P=7.62mm Barrier Terminal Blocks ROHS","KF7.62-3P-Footprint-1","CMP-002-00160-1","1"
"J302","KF7.62-2P","","P=7.62mm Barrier Terminal Blocks ROHS","KF7.62-2P-Footprint-1","CMP-002-00169-1","1"
"J401","PEC11R-4220F-S0024","","XH Series 5 Position Single Row 2.50 mm Male Pin Shrouded Header","FP-B5B-XH-AM_LF_SN-MFG","CMP-002-00166-1","1"
"J402","1.3"" I2C OLED","","Conn Shrouded Header (4 Sides) HDR 4 POS 2.5mm Solder ST Top Entry Thru-Hole Box","FP-B4B-XH-AM_LF_SN-MFG","CMP-002-00165-1","1"
"J501","5V Fan","","(Reversed pads) Conn Shrouded Header HDR 2 POS 2.5mm Solder ST Thru-Hole Box","FP-B2B-XH-AM_LF_SN-MFG-1","CMP-002-00167-1","1"
"J502","PCC-SMP-K","","Circuit Board Mountable Thermocouple Connector Dwyer Instruments DwyerOmega","FP-PRT-13612-MFG","CMP-002-00161-1","1"
"J503","1000:1 Current Trans.","","(Reversed pads) Conn Shrouded Header HDR 2 POS 2.5mm Solder ST Thru-Hole Box","FP-B2B-XH-AM_LF_SN-MFG-1","CMP-002-00167-1","1"
"MT101","M3 Hole + Bolt","","Mounting Hole for an M3 Bolt, unisolated. For use with nylon bolts and washers.","M3 Bolt Hole (No Ground_Floating)-Footprint-1","CMP-00028-00007-2","1"
"Q501","AO3400A","","MOSFET N-CH 30V 5.7A SOT23","FP-SOT23-MFG","CMP-83955-000006-1","1"
"R201, R204, R502","RES_0805","1k","Resistor SMD 0805","RES_0805","CMP-009-00180-4, CMP-009-00180-5","3"
